#{"t_start": 1641332267.081127, "env_id": null}
r,l,t
-634.532527,66,1256.488671
-610.349478,38,1256.559937
-624.551069,38,1256.705577
-615.726628,37,1256.825077
-628.956375,43,1256.912048
-650.974506,58,1257.050791
-614.141817,38,1257.227666
-616.928387,39,1257.354388
-676.444082,58,1257.465491
-620.12349,37,1257.558539
-612.361194,39,1257.721179
-665.808541,48,1257.907446
-658.026068,51,1258.012893
-653.105195,52,1258.178015
-684.71682,58,1258.365433
-621.4844,40,1258.463186
-617.675933,40,1258.541199
-657.677133,58,1258.616944
-617.386679,51,1258.695195
-674.537617,57,1258.756068
-616.758089,39,1258.800584
-673.638058,49,1344.113161
-571.05206,60,1344.307159
-521.91718,53,1344.513039
-719.069597,63,1344.617434
-549.407073,60,1344.685439
-414.923652,59,1344.750493
-538.708895,58,1344.813209
-468.944358,60,1344.882108
-702.22467,60,1344.948756
-520.118371,54,1345.010242
-696.877711,62,1345.075846
-743.199397,63,1345.151363
-493.564184,59,1345.226077
-607.483355,54,1345.299249
-448.20744,59,1345.368778
-520.94133,54,1345.438226
-474.529891,58,1345.508037
-570.795718,61,1379.376674
-617.503147,45,1379.421572
-599.093992,49,1379.478043
-633.709916,41,1379.519625
-610.855445,43,1379.57067
-631.27494,43,1379.615355
-626.947902,49,1379.66947
-630.369991,39,1379.711389
-608.814443,38,1379.7553
-622.988753,39,1379.798679
-633.012477,42,1379.838042
-615.952905,45,1379.889779
-643.483692,45,1379.944507
-622.861122,45,1379.99943
-618.835657,45,1380.048262
-636.595343,40,1380.097424
-620.469045,38,1380.140245
-613.629583,39,1380.189313
-606.478624,38,1380.233861
-625.84322,44,1380.286667
-616.322827,43,1380.334553
-604.354686,41,1380.381453
-613.464359,47,1380.431061
-645.218849,45,1380.480684
-625.641206,48,1416.34041
-577.605077,48,1416.393403
-607.446769,41,1416.443965
-605.794698,40,1416.486614
-560.623694,47,1416.538198
-558.422622,48,1416.587643
-616.596311,48,1416.638172
-570.265802,46,1416.687012
-566.014849,51,1416.741043
-620.905437,47,1416.792706
-610.579575,42,1416.837619
-510.242511,47,1416.885681
-544.023089,49,1416.940973
-585.025215,47,1416.990847
-591.385991,44,1417.035313
-523.932712,46,1417.082516
-545.392552,47,1417.176215
-526.350264,53,1417.247668
-571.454591,46,1417.297247
-523.221766,49,1417.352913
-598.636051,42,1417.405028
-601.496761,60,1447.141453
-517.298618,45,1447.181113
-510.370524,47,1447.220043
-467.094804,48,1447.262069
-497.77772,44,1447.30128
-617.710078,40,1447.33591
-407.890808,46,1447.376288
-561.457046,46,1447.416526
-582.993708,41,1447.455828
-577.277095,47,1447.506051
-475.791644,48,1447.562034
-585.971609,43,1447.633275
-589.031481,44,1447.69423
-494.4263,46,1447.761311
-445.709668,45,1447.820737
-527.892774,45,1447.875059
-549.240342,43,1447.922442
-606.913849,42,1447.974516
-575.384818,44,1448.024035
-596.901142,40,1448.063895
-596.972077,42,1448.11131
-559.135806,43,1448.198457
-616.670353,40,1448.293316
